Resource Name,Resource Group,Last Activity,Type of Activity,Subscription ID,Recommendation
AZFW-Management-PIP,eslz-hub,No recorded activity in the last 7 days,microsoft.network/publicipaddresses,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
AZFW-PIP,eslz-hub,No recorded activity in the last 7 days,microsoft.network/publicipaddresses,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
bastion-pip,eslz-hub,No recorded activity in the last 7 days,microsoft.network/publicipaddresses,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
myPublicIP,aoetestresources,No recorded activity in the last 7 days,microsoft.network/publicipaddresses,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
myVM0,aoetestresources,No recorded activity in the last 7 days,microsoft.compute/virtualmachines,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
myVM0_OsDisk_1_3b125947f0494013b4f6ed1897127f3f,aoetestresources,No recorded activity in the last 7 days,microsoft.compute/disks,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
myVM1,aoetestresources,No recorded activity in the last 7 days,microsoft.compute/virtualmachines,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
myVM1_OsDisk_1_c7ee9cde79704afbb0cc5a076c20e2cb,aoetestresources,No recorded activity in the last 7 days,microsoft.compute/disks,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
nic0,aoetestresources,No recorded activity in the last 7 days,microsoft.network/networkinterfaces,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
nic1,aoetestresources,No recorded activity in the last 7 days,microsoft.network/networkinterfaces,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
unattacheddisk-1,rg-mgmt,No recorded activity in the last 7 days,microsoft.compute/disks,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
unattacheddisk-2,rg-mgmt,No recorded activity in the last 7 days,microsoft.compute/disks,e9b4640d-1f1f-45fe-a543-c0ea45ac34c1,Deallocate or delete if not needed
